TimeStep,Price,Bid,Ask,Inventory,PnL,TotalValue
0,100,99.5,100.5,0,0,275.194
1,98.1034,97.6034,98.6034,0,0,265.711
2,98.2964,97.7964,98.7964,0,0,266.676
3,98.5055,98.0155,99.0155,-1,0,267.721
4,96.7412,96.2512,97.2512,-1,0,258.9
5,98.1751,97.6851,98.6851,-1,0,266.069
6,98.9391,98.4491,99.4491,-1,0,269.889
7,99.0244,98.5344,99.5344,-1,0,270.316
8,99.2988,98.8188,99.8188,-2,-0.737935,271.688
9,100.148,99.6677,100.668,-2,-0.737935,275.932
10,101.106,100.626,101.626,-2,-0.737935,280.725
11,101.45,100.97,101.97,-2,-0.737935,282.442
12,100.342,99.8618,100.862,-2,-0.737935,276.903
13,100.554,100.064,101.064,-1,-1.39286,277.965
14,98.1086,97.6186,98.6186,-1,-1.39286,265.737
15,98.4407,97.9507,98.9507,-1,-1.39286,267.397
16,97.7944,97.3044,98.3044,-1,-1.39286,264.166
17,101.356,100.866,101.866,-1,-1.39286,281.974
18,102.101,101.621,102.621,-2,-3.3971,285.697
19,102.296,101.816,102.816,-2,-3.3971,286.674
20,101.892,101.412,102.412,-2,-3.3971,284.652
21,100.141,99.6608,100.661,-2,-3.3971,275.898
22,100.163,99.6831,100.683,-2,-3.3971,276.009
23,99.9434,99.4734,100.473,-3,-1.03111,274.911
24,99.7335,99.2635,100.263,-3,-1.03111,273.861
25,100.759,100.289,101.289,-3,-1.03111,278.989
26,100.737,100.267,101.267,-3,-1.03111,278.877
27,100.224,99.7538,100.754,-3,-1.03111,276.313
28,100.252,99.7724,100.772,-2,1.75676,276.456
29,100.173,99.7033,100.703,-3,-0.28057,276.06
30,99.3641,98.8941,99.8941,-3,-0.28057,272.015
31,101.048,100.578,101.578,-3,-0.28057,280.435
32,100.849,100.389,101.389,-4,-2.69802,279.439
33,102.294,101.834,102.834,-4,-2.69802,286.662
34,102.473,102.013,103.013,-4,-2.69802,287.561
35,105.856,105.406,106.406,-5,-8.43864,304.474
36,104.85,104.4,105.4,-5,-8.43864,299.445
37,105.512,105.052,106.052,-4,-15.3724,302.756
38,103.59,103.14,104.14,-5,-21.9817,293.141
39,104.323,103.863,104.863,-4,-7.4168,296.807
40,104.836,104.376,105.376,-4,-7.4168,299.376
41,101.391,100.931,101.931,-4,-7.4168,282.146
42,102.084,101.624,102.624,-4,-7.4168,285.613
43,98.3057,97.8457,98.8457,-4,-7.4168,266.722
44,98.2362,97.7662,98.7662,-3,13.7585,266.375
45,96.4693,95.9893,96.9893,-2,13.9971,257.54
46,96.9348,96.4548,97.4548,-2,13.9971,259.868
47,97.4524,96.9824,97.9824,-3,14.6197,262.456
48,96.1601,95.7001,96.7001,-4,13.0371,255.994
49,95.5148,95.0548,96.0548,-4,13.0371,252.768
50,95.238,94.768,95.768,-3,24.7474,251.384
51,95.1175,94.6375,95.6375,-2,25.6079,250.781
52,95.6827,95.1927,96.1927,-1,25.8688,253.607
53,94.9518,94.4618,95.4618,-1,25.8688,249.953
54,96.411,95.921,96.921,-1,25.8688,257.249
55,96.1772,95.6872,96.6872,-1,25.8688,256.08
56,96.9052,96.4152,97.4152,-1,25.8688,259.72
57,95.9364,95.4564,96.4564,-2,23.0911,254.876
58,96.6759,96.1859,97.1859,-1,27.0087,258.573
59,97.9522,97.4622,98.4622,-1,27.0087,264.955
60,98.3474,97.8574,98.8574,-1,27.0087,266.931
61,98.9455,98.4655,99.4655,-2,23.6078,269.921
62,96.4516,95.9716,96.9716,-2,23.6078,257.452
63,96.4821,95.9921,96.9921,-1,29.3793,257.604
64,94.9917,94.5017,95.5017,-1,29.3793,250.152
65,93.7706,93.2806,94.2806,-1,29.3793,244.047
