TimeStep,Price,Basic_PnL,Enhanced_PnL,OBI,PriceChange
0,100,0,0,0.50219,0
1,98.1034,0,0,0.415019,-0.0189662
2,98.2964,0,0,0.540369,0.00196775
3,98.5055,0,0,0.629709,0.00212683
4,96.7412,0,0,0.484971,-0.0179108
5,98.1751,0,0,0.573086,0.0148222
6,98.9391,0,0,0.646997,0.00778207
7,99.0244,0,0,0.653316,0.000861823
8,99.2988,-0.737935,-0.962213,0.690664,0.00277194
9,100.148,-0.737935,-0.962213,0.73508,0.00854896
10,101.106,-0.737935,-0.962213,0.752418,0.00957183
11,101.45,-0.737935,-0.962213,0.791415,0.00339464
12,100.342,-0.737935,-0.962213,0.626293,-0.0109192
13,100.554,-1.39286,-1.51675,0.683517,0.00211689
14,98.1086,-1.39286,-1.51675,0.592571,-0.0243216
15,98.4407,-1.39286,-1.51675,0.603297,0.00338507
16,97.7944,-1.39286,-1.51675,0.44434,-0.00656553
17,101.356,-1.39286,-1.51675,0.563147,0.03642
18,102.101,-3.3971,-3.39555,0.648886,0.00734622
19,102.296,-3.3971,-3.39555,0.668306,0.00191295
20,101.892,-3.3971,-3.39555,0.505079,-0.0039515
21,100.141,-3.3971,-3.39555,0.398329,-0.0171847
22,100.163,-3.3971,-3.39555,0.588746,0.000222749
23,99.9434,-1.03111,-1.12911,0.456964,-0.00219297
24,99.7335,-1.03111,-1.12911,0.423353,-0.00210053
25,100.759,-1.03111,-1.12911,0.479559,0.0102824
26,100.737,-1.03111,-1.12911,0.396118,-0.000221786
27,100.224,-1.03111,-1.12911,0.329302,-0.00509102
28,100.252,1.75676,3.21858,0.46486,0.000285999
29,100.173,-0.28057,0.637846,0.384157,-0.000789166
30,99.3641,-0.28057,0.637846,0.348163,-0.00807771
31,101.048,-0.28057,0.637846,0.454994,0.0169488
32,100.849,-2.69802,-1.7181,0.385427,-0.00197202
33,102.294,-2.69802,-1.7181,0.516296,0.0143257
34,102.473,-2.69802,-1.7181,0.56616,0.00175665
35,105.856,-8.43864,-8.36492,0.646087,0.0330098
36,104.85,-8.43864,-8.36492,0.44294,-0.00950234
37,105.512,-15.3724,-14.0224,0.521658,0.00631677
38,103.59,-21.9817,-21.2931,0.417284,-0.0182251
39,104.323,-7.4168,-5.64291,0.568802,0.00707812
40,104.836,-7.4168,-5.64291,0.627194,0.00492485
41,101.391,-7.4168,-5.64291,0.522841,-0.0328698
42,102.084,-7.4168,-5.64291,0.629503,0.00683786
43,98.3057,-7.4168,-5.64291,0.560569,-0.0370104
44,98.2362,13.7585,14.3706,0.458877,-0.000707154
45,96.4693,13.9971,15.2088,0.383399,-0.0179857
46,96.9348,13.9971,15.2088,0.458902,0.00482578
47,97.4524,14.6197,15.8292,0.599794,0.00533899
48,96.1601,13.0371,13.424,0.429054,-0.0132611
49,95.5148,13.0371,13.424,0.336911,-0.00671015
50,95.238,24.7474,27.1585,0.296352,-0.00289845
51,95.1175,25.6079,28.2481,0.281631,-0.00126476
52,95.6827,25.8688,28.5641,0.431528,0.00594171
53,94.9518,25.8688,28.5641,0.333657,-0.00763865
54,96.411,25.8688,28.5641,0.46808,0.0153682
55,96.1772,25.8688,28.5641,0.3782,-0.00242493
56,96.9052,25.8688,28.5641,0.501422,0.00756922
57,95.9364,23.0911,25.3682,0.458178,-0.00999727
58,96.6759,27.0087,29.4518,0.565683,0.00770779
59,97.9522,27.0087,29.4518,0.64112,0.0132021
60,98.3474,27.0087,29.4518,0.703228,0.00403409
61,98.9455,23.6078,25.5708,0.734535,0.00608146
62,96.4516,23.6078,25.5708,0.546518,-0.0252044
63,96.4821,29.3793,31.9624,0.651388,0.000316391
64,94.9917,29.3793,31.9624,0.534132,-0.0154471
65,93.7706,29.3793,31.9624,0.42378,-0.0128547
66,93.1322,29.3793,31.9624,0.355245,-0.00680816
67,94.6802,29.3793,31.9624,0.512571,0.0166214
68,93.6107,29.3793,31.9624,0.456561,-0.0112966
69,94.4198,32.2302,34.9844,0.577815,0.00864376
70,95.1434,32.2302,34.9844,0.662708,0.00766338
71,94.3388,32.2302,34.9844,0.549783,-0.00845682
72,95.2284,32.2302,34.9844,0.604786,0.00943005
73,93.4868,32.2302,34.9844,0.53146,-0.0182889
74,93.0764,32.2302,34.9844,0.414969,-0.00438916
75,92.9617,32.2302,34.9844,0.303309,-0.00123309
76,92.479,32.2302,34.9844,0.27182,-0.00519204
77,89.9317,32.2302,34.9844,0.304849,-0.0275451
78,88.9215,32.2302,34.9844,0.267988,-0.0112324
79,88.7112,32.2302,34.9844,0.238505,-0.00236575
80,85.8987,27.4446,29.676,0.250141,-0.0317038
81,86.7158,27.4446,29.676,0.373898,0.00951302
82,86.2236,27.4446,29.676,0.294823,-0.00567589
83,86.9402,27.4446,29.676,0.445528,0.00831088
84,85.3539,27.4446,29.676,0.401744,-0.0182463
85,84.517,27.4446,29.676,0.388466,-0.00980509
86,85.0566,27.4446,29.676,0.494497,0.00638483
87,84.4911,27.4446,29.676,0.447968,-0.00664913
88,83.997,27.4446,29.676,0.341897,-0.00584717
89,82.4408,17.9964,20.6244,0.326814,-0.0185267
90,80.4188,17.9964,20.6244,0.283932,-0.0245271
91,81.8792,17.9964,20.6244,0.41333,0.0181595
92,80.2283,17.9964,20.6244,0.325646,-0.0201619
93,80.3967,6.66029,9.24587,0.44434,0.00209867
94,80.2564,11.2938,14.6404,0.378479,-0.00174582
95,79.7729,11.2938,14.6404,0.364243,-0.00602342
96,80.1761,11.2938,14.6404,0.441916,0.00505441
97,80.7003,11.2938,14.6404,0.545308,0.00653816
98,81.4234,11.2938,14.6404,0.632452,0.00895974
99,81.7735,11.2938,14.6404,0.700574,0.00429989
100,82.5551,11.2938,14.6404,0.682494,0.00955766
101,81.0254,17.7989,22.318,0.58007,-0.0185286
102,80.4231,17.7989,22.318,0.460511,-0.00743349
103,79.4308,17.7989,22.318,0.385012,-0.0123386
104,78.054,17.7989,22.318,0.307294,-0.0173343
105,77.0737,6.81663,10.1314,0.288754,-0.0125586
106,75.679,6.81663,10.1314,0.26811,-0.0180957
107,76.7221,6.81663,10.1314,0.46521,0.0137837
108,76.8711,5.79121,9.84835,0.574562,0.00194142
109,76.1478,5.79121,9.84835,0.429364,-0.00940946
110,74.2749,2.66248,6.61123,0.336096,-0.024596
111,74.2027,2.66248,6.61123,0.310519,-0.000971872
112,74.3836,2.66248,6.61123,0.469219,0.00243771
113,74.9433,2.66248,6.61123,0.558408,0.00752522
114,74.3284,2.66248,6.61123,0.439301,-0.00820521
115,74.5434,-2.82574,1.17504,0.558132,0.0028927
116,73.9031,-2.82574,1.17504,0.441683,-0.00858902
117,73.652,-2.82574,1.17504,0.373924,-0.00339826
118,72.5834,-2.82574,1.17504,0.339619,-0.0145091
119,70.725,-9.84579,-6.41536,0.256864,-0.0256027
120,69.5936,-19.1875,-16.3125,0.21129,-0.015997
121,70.1248,-19.1875,-16.3125,0.388956,0.0076321
122,70.2849,-16.8489,-12.8449,0.474377,0.00228362
123,69.0607,-16.8489,-12.8449,0.376416,-0.0174173
124,69.0411,-16.8489,-12.8449,0.384883,-0.000283889
125,70.7455,-27.2171,-23.2292,0.501913,0.0246867
126,70.213,-27.2171,-23.2292,0.444861,-0.00752817
127,69.8565,-20.2463,-15.7692,0.346411,-0.00507727
128,69.6781,-20.2463,-15.7692,0.333944,-0.0025536
129,69.0291,-20.2463,-15.7692,0.288938,-0.00931333
130,68.5812,-20.2463,-15.7692,0.249133,-0.00648956
131,69.1949,-20.2463,-15.7692,0.419089,0.00894877
132,70.357,-20.4427,-16.2074,0.477879,0.0167943
133,68.3907,-20.4427,-16.2074,0.417106,-0.027947
134,69.3436,-31.2078,-26.981,0.474842,0.0139328
135,69.4963,-31.2078,-26.981,0.61517,0.00220293
136,69.699,-31.2078,-26.981,0.696947,0.00291632
137,69.7313,-31.2078,-26.981,0.719744,0.000462834
138,70.9414,-14.8938,-7.72812,0.726046,0.0173536
139,71.5655,-7.5733,-0.322012,0.73385,0.00879718
140,70.3154,-7.5733,-0.322012,0.551624,-0.0174676
141,68.8707,-15.6533,-9.64259,0.518489,-0.0205453
142,69.3241,-15.6533,-9.64259,0.616616,0.00658305
143,69.1464,-15.6533,-9.64259,0.520667,-0.00256342
144,69.7003,-15.6533,-9.64259,0.614273,0.00801002
145,68.4224,-15.6533,-9.64259,0.446275,-0.0183333
146,70.2446,-15.6533,-9.64259,0.601352,0.0266312
147,70.6714,-15.6533,-9.64259,0.680516,0.0060766
148,69.6013,-15.6533,-9.64259,0.510807,-0.0151418
149,70.076,-15.6533,-9.64259,0.624286,0.0068199
150,69.998,-15.6533,-9.64259,0.492651,-0.00111292
151,68.6911,-17.6173,-12.1039,0.467281,-0.0186711
152,67.9164,-17.6173,-12.1039,0.374971,-0.0112774
153,68.2486,-17.6173,-12.1039,0.496782,0.00489022
154,67.4961,-17.6173,-12.1039,0.435876,-0.0110258
155,67.3192,-35.201,-30.2216,0.404663,-0.002621
156,66.3523,-36.6963,-32.0512,0.364239,-0.0143623
157,66.2574,-36.6963,-32.0512,0.325384,-0.00142961
