TimeStep,Price,Bid,Ask,Inventory,PnL,TotalValue,OBI
0,100,99.5044,100.504,0,0,314.962,0.50219
1,98.1034,97.4366,98.4366,0,0,305.478,0.415019
2,98.2964,97.8758,98.8758,0,0,306.444,0.540369
3,98.5055,98.271,99.271,-1,0,307.489,0.629709
4,96.7412,96.2221,97.2221,-1,0,298.667,0.484971
5,98.1751,97.8286,98.8286,-1,0,305.837,0.573086
6,98.9391,98.74,99.74,-1,0,309.657,0.646997
7,99.0244,98.838,99.838,-1,0,310.083,0.653316
8,99.2988,99.1975,100.197,-2,-0.962213,311.456,0.690664
9,100.148,100.139,101.139,-2,-0.962213,315.7,0.73508
10,101.106,101.137,102.137,-2,-0.962213,320.493,0.752418
11,101.45,101.561,102.561,-2,-0.962213,322.209,0.791415
12,100.342,100.115,101.115,-2,-0.962213,316.671,0.626293
13,100.554,100.433,101.433,-1,-1.51675,317.733,0.683517
14,98.1086,97.8002,98.8002,-1,-1.51675,305.505,0.592571
15,98.4407,98.1541,99.1541,-1,-1.51675,307.165,0.603297
16,97.7944,97.1955,98.1955,-1,-1.51675,303.933,0.44434
17,101.356,100.994,101.994,-1,-1.51675,321.742,0.563147
18,102.101,101.925,102.925,-2,-3.39555,325.465,0.648886
19,102.296,102.16,103.16,-2,-3.39555,326.441,0.668306
20,101.892,101.422,102.422,-2,-3.39555,324.42,0.505079
21,100.141,99.4571,100.457,-2,-3.39555,315.665,0.398329
22,100.163,99.8608,100.861,-2,-3.39555,315.777,0.588746
23,99.9434,99.3874,100.387,-3,-1.12911,314.679,0.456964
24,99.7335,99.1106,100.111,-3,-1.12911,313.629,0.423353
25,100.759,100.248,101.248,-3,-1.12911,318.756,0.479559
26,100.737,100.057,101.057,-3,-1.12911,318.645,0.396118
27,100.224,99.4116,100.412,-3,-1.12911,316.08,0.329302
28,100.252,99.702,100.702,-2,3.21858,316.224,0.46486
29,100.173,99.4712,100.471,-3,0.637846,315.828,0.384157
30,99.3641,98.5924,99.5924,-3,0.637846,311.782,0.348163
31,101.048,100.487,101.487,-3,0.637846,320.203,0.454994
32,100.849,100.158,101.158,-4,-1.7181,319.206,0.385427
33,102.294,101.867,102.867,-4,-1.7181,326.43,0.516296
34,102.473,102.149,103.149,-4,-1.7181,327.329,0.56616
35,105.856,105.715,106.715,-5,-8.36492,344.242,0.646087
36,104.85,104.281,105.281,-5,-8.36492,339.212,0.44294
37,105.512,105.098,106.098,-4,-14.0224,342.524,0.521658
38,103.59,102.968,103.968,-5,-21.2931,332.909,0.417284
39,104.323,104.006,105.006,-4,-5.64291,336.575,0.568802
40,104.836,104.643,105.643,-4,-5.64291,339.144,0.627194
41,101.391,100.977,101.977,-4,-5.64291,321.914,0.522841
42,102.084,101.888,102.888,-4,-5.64291,325.381,0.629503
43,98.3057,97.9648,98.9648,-4,-5.64291,306.49,0.560569
44,98.2362,97.6854,98.6854,-3,14.3706,306.142,0.458877
45,96.4693,95.7643,96.7643,-2,15.2088,297.308,0.383399
46,96.9348,96.3752,97.3752,-2,15.2088,299.636,0.458902
47,97.4524,97.1769,98.1769,-3,15.8292,302.223,0.599794
48,96.1601,95.5636,96.5636,-4,13.424,295.762,0.429054
49,95.5148,94.7433,95.7433,-4,13.424,292.536,0.336911
50,95.238,94.3801,95.3801,-3,27.1585,291.151,0.296352
51,95.1175,94.2221,95.2221,-2,28.2481,290.549,0.281631
52,95.6827,95.0616,96.0616,-1,28.5641,293.375,0.431528
53,94.9518,94.1459,95.1459,-1,28.5641,289.72,0.333657
54,96.411,95.8595,96.8595,-1,28.5641,297.017,0.46808
55,96.1772,95.4529,96.4529,-1,28.5641,295.848,0.3782
56,96.9052,96.418,97.418,-1,28.5641,299.488,0.501422
57,95.9364,95.3762,96.3762,-2,25.3682,294.644,0.458178
58,96.6759,96.3129,97.3129,-1,29.4518,298.341,0.565683
59,97.9522,97.7387,98.7387,-1,29.4518,304.723,0.64112
60,98.3474,98.2571,99.2571,-1,29.4518,306.698,0.703228
61,98.9455,98.9296,99.9296,-2,25.5708,309.689,0.734535
62,96.4516,96.0613,97.0613,-2,25.5708,297.219,0.546518
63,96.4821,96.2842,97.2842,-1,31.9624,297.372,0.651388
64,94.9917,94.5666,95.5666,-1,31.9624,289.92,0.534132
65,93.7706,93.1377,94.1377,-1,31.9624,283.815,0.42378
66,93.1322,92.3726,93.3726,-1,31.9624,280.623,0.355245
67,94.6802,94.214,95.214,-1,31.9624,288.363,0.512571
68,93.6107,93.0393,94.0393,-1,31.9624,283.015,0.456561
69,94.4198,94.0668,95.0668,0,34.9844,287.061,0.577815
70,95.1434,94.953,95.953,0,34.9844,290.678,0.662708
71,94.3388,93.9327,94.9327,0,34.9844,286.655,0.549783
72,95.2284,94.928,95.928,0,34.9844,291.104,0.604786
73,93.4868,93.0456,94.0456,0,34.9844,282.395,0.53146
74,93.0764,92.4082,93.4082,1,34.9844,280.344,0.414969
75,92.9617,92.086,93.086,1,34.9844,279.77,0.303309
76,92.479,91.547,92.547,1,34.9844,277.357,0.27182
77,89.9317,89.0707,90.0707,1,34.9844,264.62,0.304849
78,88.9215,87.9989,88.9989,1,34.9844,259.569,0.267988
79,88.7112,87.7372,88.7372,1,34.9844,258.517,0.238505
80,85.8987,84.9494,85.9494,2,29.676,244.455,0.250141
81,86.7158,85.9771,86.9771,2,29.676,248.541,0.373898
82,86.2236,85.3498,86.3498,2,29.676,246.08,0.294823
83,86.9402,86.3255,87.3255,2,29.676,249.663,0.445528
84,85.3539,84.6662,85.6662,2,29.676,241.731,0.401744
85,84.517,83.8085,84.8085,2,29.676,237.547,0.388466
86,85.0566,84.5273,85.5273,2,29.676,240.245,0.494497
87,84.4911,83.8831,84.8831,2,29.676,237.417,0.447968
88,83.997,83.2114,84.2114,2,29.676,234.947,0.341897
89,82.4408,81.6253,82.6253,3,20.6244,227.166,0.326814
90,80.4188,79.5413,80.5413,3,20.6244,217.056,0.283932
91,81.8792,81.2072,82.2072,3,20.6244,224.357,0.41333
92,80.2283,79.4186,80.4186,3,20.6244,216.103,0.325646
93,80.3967,79.7672,80.7672,4,9.24587,216.945,0.44434
94,80.2564,79.5313,80.5313,3,14.6404,216.243,0.378479
95,79.7729,79.0263,80.0263,3,14.6404,213.826,0.364243
96,80.1761,79.553,80.553,3,14.6404,215.842,0.441916
97,80.7003,80.2435,81.2435,3,14.6404,218.463,0.545308
98,81.4234,81.1091,82.1091,3,14.6404,222.079,0.632452
99,81.7735,81.5715,82.5715,3,14.6404,223.829,0.700574
100,82.5551,82.3264,83.3264,3,14.6404,227.737,0.682494
101,81.0254,80.6352,81.6352,2,22.318,220.089,0.58007
102,80.4231,79.8396,80.8396,2,22.318,217.077,0.460511
103,79.4308,78.7282,79.7282,2,22.318,212.116,0.385012
104,78.054,77.2331,78.2331,2,22.318,205.231,0.307294
105,77.0737,76.2181,77.2181,3,10.1314,200.33,0.288754
106,75.679,74.798,75.798,3,10.1314,193.357,0.26811
107,76.7221,76.1388,77.1388,3,10.1314,198.572,0.46521
108,76.8711,76.4657,77.4657,2,9.84835,199.317,0.574562
109,76.1478,75.5202,76.5202,2,9.84835,195.7,0.429364
110,74.2749,73.5014,74.5014,3,6.61123,186.336,0.336096
111,74.2027,73.3915,74.3915,3,6.61123,185.975,0.310519
112,74.3836,73.8078,74.8078,3,6.61123,186.879,0.469219
113,74.9433,74.5008,75.5008,3,6.61123,189.678,0.558408
114,74.3284,73.7081,74.7081,3,6.61123,186.603,0.439301
115,74.5434,74.0901,75.0901,4,1.17504,187.678,0.558132
116,73.9031,73.2769,74.2769,4,1.17504,184.477,0.441683
117,73.652,72.9263,73.9263,4,1.17504,183.222,0.373924
118,72.5834,71.8105,72.8105,4,1.17504,177.878,0.339619
119,70.725,69.8311,70.8311,5,-6.41536,168.587,0.256864
120,69.5936,68.6318,69.6318,6,-16.3125,162.93,0.21129
121,70.1248,69.409,70.409,6,-16.3125,165.585,0.388956
122,70.2849,69.6989,70.6989,5,-12.8449,166.386,0.474377
123,69.0607,68.3401,69.3401,5,-12.8449,160.265,0.376416
124,69.0411,68.3322,69.3322,5,-12.8449,160.167,0.384883
125,70.7455,70.1882,71.1882,6,-23.2292,168.689,0.501913
126,70.213,69.5755,70.5755,6,-23.2292,166.026,0.444861
127,69.8565,69.0719,70.0719,7,-15.7692,164.244,0.346411
